Age_Group,Gender,Nationality,Status,Location,Living_Situation,Monthly_Food_Budget_AED,Cooking_Frequency,Current_Spending_Per_Meal_AED,Delivery_Frequency,Interest_Level,Subscription_Preference,WTP_Per_Meal_AED,Meals_Per_Week,Taste_Satisfaction,Healthiness_Satisfaction,Affordability_Satisfaction,Convenience_Satisfaction,Variety_Satisfaction,Interested
Under 18,Male,East Asia,Working Professional (Bachelor/Single),Ajman,Shared apartment with roommates,1500-2000,4-6 times a week,10-15,Once a day,2,2,38.13,8-10,3,1,3,3,2,0
35-44,Male,Indian Subcontinent,Working Professional (Married),Bur Dubai/Deira,Shared apartment with roommates,500-1000,2-3 times a week,10-15,Once a week,4,1,16.15,1-2,1,2,3,5,1,1
25-34,Male,Middle East/North Africa,Working Professional (Married),Dubai Marina,Rented studio/apartment (alone),1000-1500,Once a week,15-20,Multiple times a day,3,2,25.43,1-2,1,1,3,4,1,0
25-34,Prefer not to say,Indian Subcontinent,Working Professional (Bachelor/Single),Ajman,Living with family,500-1000,Once a week,20-30,2-3 times a week,1,5,18.66,1-2,2,3,5,5,1,0
35-44,Male,Indian Subcontinent,Working Professional (Bachelor/Single),International City,Company-provided accommodation,500-1000,2-3 times a week,20-30,2-3 times a week,3,4,31.56,Would not order,1,2,1,4,3,0
18-24,Male,Americas,Working Professional (Bachelor/Single),Sharjah,University dormitory/hostel,1000-1500,2-3 times a week,20-30,Once a week,4,3,24.35,5-7,3,2,3,5,4,1
18-24,Female,Indian Subcontinent,International University/College Student,International City,University dormitory/hostel,1500-2000,Daily,15-20,Once a week,4,4,22.85,8-10,2,3,4,4,5,1
18-24,Female,Middle East/North Africa,Working Professional (Bachelor/Single),Sharjah,Company-provided accommodation,1000-1500,2-3 times a week,30-50,4-6 times a week,3,4,33.83,3-4,2,2,3,3,2,0
35-44,Female,Southeast Asia,Working Professional (Bachelor/Single),Dubai Academic City,Living with family,1500-2000,4-6 times a week,10-15,Once a week,4,4,27.24,3-4,2,2,1,2,3,1
25-34,Male,Southeast Asia,Working Professional (Married),Ajman,Company-provided accommodation,500-1000,Once a week,15-20,4-6 times a week,5,2,31.13,3-4,1,1,3,3,4,1
18-24,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Abu Dhabi,University dormitory/hostel,1500-2000,4-6 times a week,20-30,2-3 times a week,3,5,19.15,3-4,1,3,2,1,1,0
18-24,Female,Indian Subcontinent,Working Professional (Married),International City,Rented studio/apartment (alone),500-1000,Daily,10-15,Once a week,3,3,15.76,5-7,4,1,2,3,3,0
18-24,Female,Indian Subcontinent,International University/College Student,JLT,Rented studio/apartment (alone),1500-2000,2-3 times a week,10-15,Once a week,3,4,27.86,5-7,2,2,4,3,4,0
18-24,Female,Middle East/North Africa,Working Professional (Bachelor/Single),Other,Rented studio/apartment (alone),1000-1500,Once a week,30-50,Never,4,1,24.45,3-4,2,3,3,3,1,1
25-34,Female,Indian Subcontinent,International University/College Student,JLT,Shared apartment with roommates,2000-3000,Rarely/Never,15-20,4-6 times a week,5,3,32.01,More than 10,1,3,4,5,4,1
25-34,Male,Middle East/North Africa,International University/College Student,Ajman,University dormitory/hostel,1000-1500,2-3 times a week,20-30,Once a week,3,3,26.36,1-2,2,3,4,5,4,0
35-44,Female,Indian Subcontinent,Working Professional (Married),Dubai Marina,Rented studio/apartment (alone),Less than 500,2-3 times a week,Less than 10,2-3 times a week,5,4,28.64,Would not order,3,4,3,2,1,1
25-34,Male,Indian Subcontinent,Other,JLT,Shared apartment with roommates,Less than 500,Rarely/Never,20-30,Rarely,1,1,14.01,1-2,3,1,1,3,1,0
18-24,Male,Middle East/North Africa,International University/College Student,Dubai Academic City,Shared apartment with roommates,1500-2000,2-3 times a week,15-20,4-6 times a week,4,4,42.11,3-4,3,2,3,3,1,1
25-34,Male,Indian Subcontinent,Local University/College Student,Dubai Academic City,Company-provided accommodation,1000-1500,Daily,Less than 10,Once a week,5,2,25.69,3-4,1,2,2,3,2,1
35-44,Male,Middle East/North Africa,Working Professional (Married),Sharjah,Shared apartment with roommates,1500-2000,2-3 times a week,20-30,2-3 times a week,3,4,32.58,3-4,2,1,4,4,3,0
25-34,Male,Southeast Asia,International University/College Student,JLT,Living with family,500-1000,Rarely/Never,10-15,4-6 times a week,4,5,20.31,5-7,4,2,2,3,3,1
35-44,Male,East Asia,Working Professional (Bachelor/Single),Dubai Marina,University dormitory/hostel,500-1000,2-3 times a week,15-20,2-3 times a week,3,4,29.46,3-4,4,2,2,3,2,0
25-34,Female,Indian Subcontinent,Working Professional (Married),Dubai Marina,Rented studio/apartment (alone),Less than 500,4-6 times a week,10-15,2-3 times a week,5,4,16.58,3-4,1,3,3,4,4,1
25-34,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Marina,Other,More than 3000,Daily,10-15,2-3 times a week,1,4,30.62,5-7,2,3,2,4,2,0
25-34,Female,Indian Subcontinent,International University/College Student,Ajman,University dormitory/hostel,1500-2000,4-6 times a week,15-20,Rarely,5,3,24.15,5-7,1,2,2,2,1,1
18-24,Male,Southeast Asia,Local University/College Student,Other,University dormitory/hostel,2000-3000,2-3 times a week,10-15,2-3 times a week,2,5,27.23,8-10,1,3,3,4,2,0
18-24,Male,Southeast Asia,Working Professional (Married),JLT,Shared apartment with roommates,500-1000,Once a week,30-50,Once a week,5,3,32.58,3-4,2,2,1,3,3,1
18-24,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Sharjah,University dormitory/hostel,1000-1500,Daily,Less than 10,2-3 times a week,3,4,17.14,5-7,1,2,1,3,2,0
25-34,Male,Europe,International University/College Student,Sharjah,Living with family,1500-2000,Rarely/Never,15-20,Once a day,5,4,21.52,5-7,3,3,2,1,2,1
18-24,Male,Indian Subcontinent,Working Professional (Married),Dubai Marina,Company-provided accommodation,500-1000,Once a week,10-15,4-6 times a week,3,3,30.66,3-4,2,1,3,3,1,0
25-34,Male,Middle East/North Africa,International University/College Student,Abu Dhabi,Shared apartment with roommates,1500-2000,Once a week,15-20,2-3 times a week,5,3,43.79,3-4,1,1,3,3,4,1
45-54,Male,Southeast Asia,Working Professional (Married),Dubai Academic City,Shared apartment with roommates,2000-3000,Rarely/Never,30-50,2-3 times a week,2,4,25.9,3-4,1,2,3,2,5,0
18-24,Prefer not to say,Africa,International University/College Student,International City,Shared apartment with roommates,2000-3000,Daily,10-15,4-6 times a week,2,5,31.73,1-2,4,4,3,4,2,0
25-34,Male,Southeast Asia,Freelancer/Entrepreneur,Ajman,Living with family,1500-2000,2-3 times a week,More than 50,2-3 times a week,4,5,26.14,3-4,1,3,2,4,2,1
35-44,Female,East Asia,Local University/College Student,JLT,University dormitory/hostel,500-1000,Once a week,10-15,2-3 times a week,2,4,42.54,1-2,3,1,4,2,3,0
18-24,Male,Indian Subcontinent,Local University/College Student,Sharjah,Rented studio/apartment (alone),500-1000,Rarely/Never,20-30,4-6 times a week,2,4,13.02,5-7,2,4,1,1,3,0
18-24,Female,East Asia,International University/College Student,Ajman,Rented studio/apartment (alone),More than 3000,Once a week,15-20,2-3 times a week,5,5,27.76,5-7,3,3,3,4,2,1
18-24,Female,Indian Subcontinent,Local University/College Student,International City,Rented studio/apartment (alone),Less than 500,4-6 times a week,30-50,4-6 times a week,5,1,14.0,Would not order,2,3,4,1,4,1
18-24,Female,Africa,Working Professional (Married),Ajman,Shared apartment with roommates,1500-2000,Rarely/Never,15-20,Rarely,3,2,10.0,5-7,1,4,4,5,3,0
45-54,Male,Middle East/North Africa,Other,JLT,Rented studio/apartment (alone),1500-2000,Daily,15-20,Rarely,5,4,29.38,1-2,1,2,2,4,3,1
35-44,Male,East Asia,Local University/College Student,Dubai Marina,University dormitory/hostel,1000-1500,Rarely/Never,10-15,Once a week,4,5,28.12,8-10,1,2,2,3,3,1
25-34,Male,Middle East/North Africa,Local University/College Student,Bur Dubai/Deira,University dormitory/hostel,More than 3000,Rarely/Never,10-15,Once a day,3,5,24.72,8-10,2,3,3,2,5,0
35-44,Female,Southeast Asia,Working Professional (Married),Abu Dhabi,Company-provided accommodation,500-1000,4-6 times a week,30-50,Once a week,5,3,26.15,3-4,3,3,1,1,4,1
35-44,Female,Middle East/North Africa,Freelancer/Entrepreneur,International City,Living with family,500-1000,Once a week,15-20,Once a week,4,1,51.79,5-7,2,3,4,2,1,1
18-24,Female,Southeast Asia,Working Professional (Bachelor/Single),JLT,University dormitory/hostel,Less than 500,Daily,15-20,Once a week,5,3,24.93,Would not order,1,3,3,2,2,1
35-44,Male,Indian Subcontinent,Local University/College Student,Bur Dubai/Deira,Shared apartment with roommates,1000-1500,2-3 times a week,20-30,Once a day,3,2,31.08,5-7,2,4,3,4,3,0
25-34,Female,Indian Subcontinent,Local University/College Student,Bur Dubai/Deira,University dormitory/hostel,500-1000,2-3 times a week,15-20,Once a week,4,3,21.81,More than 10,3,4,1,2,2,1
35-44,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Bur Dubai/Deira,Shared apartment with roommates,500-1000,Once a week,30-50,Rarely,1,4,29.36,1-2,5,4,3,3,3,0
35-44,Male,Indian Subcontinent,International University/College Student,International City,Shared apartment with roommates,1500-2000,Rarely/Never,20-30,2-3 times a week,2,1,25.09,1-2,3,4,3,4,4,0
18-24,Male,Africa,Working Professional (Bachelor/Single),Dubai Academic City,University dormitory/hostel,2000-3000,Once a week,20-30,Once a week,1,5,23.72,3-4,2,4,4,3,3,0
18-24,Female,Indian Subcontinent,Local University/College Student,JLT,Shared apartment with roommates,500-1000,2-3 times a week,30-50,2-3 times a week,5,3,41.55,5-7,3,1,1,1,5,1
18-24,Female,Americas,Working Professional (Married),Sharjah,Living with family,1000-1500,Rarely/Never,Less than 10,2-3 times a week,5,4,36.42,8-10,4,2,1,1,2,1
25-34,Female,Indian Subcontinent,International University/College Student,Dubai Academic City,Rented studio/apartment (alone),2000-3000,Rarely/Never,10-15,Once a day,5,1,28.09,Would not order,4,3,2,1,4,1
35-44,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Rented studio/apartment (alone),Less than 500,Daily,15-20,Once a week,4,3,10.0,3-4,2,4,1,4,4,1
35-44,Female,East Asia,Working Professional (Bachelor/Single),Abu Dhabi,University dormitory/hostel,Less than 500,Rarely/Never,10-15,Once a day,3,1,24.11,1-2,1,3,3,3,2,0
Under 18,Male,Southeast Asia,Working Professional (Bachelor/Single),International City,Company-provided accommodation,500-1000,Daily,20-30,2-3 times a week,2,5,48.62,8-10,2,3,4,4,3,0
25-34,Male,Middle East/North Africa,International University/College Student,Other,Living with family,1000-1500,Rarely/Never,30-50,4-6 times a week,3,5,25.15,5-7,2,1,2,3,1,0
25-34,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Bur Dubai/Deira,Living with family,500-1000,4-6 times a week,15-20,2-3 times a week,3,4,35.83,1-2,3,2,4,3,4,0
18-24,Female,Southeast Asia,Working Professional (Bachelor/Single),Sharjah,Living with family,More than 3000,Daily,15-20,4-6 times a week,5,2,38.54,3-4,2,3,1,3,3,1
18-24,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Company-provided accommodation,1000-1500,2-3 times a week,More than 50,Once a week,4,5,28.75,5-7,1,1,2,4,2,1
18-24,Male,Other,Working Professional (Bachelor/Single),International City,Rented studio/apartment (alone),1000-1500,Once a week,15-20,Once a week,1,3,20.27,5-7,3,2,1,2,3,0
45-54,Male,Americas,Working Professional (Bachelor/Single),Sharjah,University dormitory/hostel,500-1000,2-3 times a week,15-20,4-6 times a week,1,2,10.0,3-4,4,2,2,2,3,0
18-24,Female,Southeast Asia,Working Professional (Married),Sharjah,Rented studio/apartment (alone),1000-1500,Daily,15-20,Once a day,2,4,32.47,3-4,2,2,4,3,2,0
25-34,Male,Indian Subcontinent,International University/College Student,Sharjah,Living with family,1500-2000,Once a week,30-50,4-6 times a week,4,5,20.48,Would not order,3,3,1,3,1,1
25-34,Female,Southeast Asia,Working Professional (Married),International City,Living with family,1500-2000,Rarely/Never,20-30,Rarely,5,1,28.41,5-7,2,2,3,3,3,1
18-24,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Sharjah,Rented studio/apartment (alone),1500-2000,2-3 times a week,20-30,2-3 times a week,4,2,17.0,3-4,4,3,3,4,3,1
55+,Male,Indian Subcontinent,International University/College Student,Sharjah,University dormitory/hostel,1000-1500,4-6 times a week,30-50,2-3 times a week,5,5,24.88,3-4,4,1,4,3,4,1
45-54,Male,Indian Subcontinent,International University/College Student,Bur Dubai/Deira,Shared apartment with roommates,2000-3000,2-3 times a week,15-20,Once a day,4,2,27.27,5-7,2,4,1,4,4,1
18-24,Male,Middle East/North Africa,Local University/College Student,Sharjah,Company-provided accommodation,1500-2000,Daily,15-20,Once a week,3,2,29.15,3-4,3,2,2,3,3,0
25-34,Female,Africa,Working Professional (Married),Sharjah,Rented studio/apartment (alone),1500-2000,Rarely/Never,30-50,Rarely,2,4,18.08,1-2,4,3,1,4,4,0
18-24,Male,Southeast Asia,Working Professional (Married),Bur Dubai/Deira,Rented studio/apartment (alone),Less than 500,Rarely/Never,15-20,Once a week,5,5,36.58,5-7,2,3,3,4,3,1
18-24,Male,Southeast Asia,Working Professional (Married),International City,Shared apartment with roommates,Less than 500,Once a week,20-30,Once a week,5,4,22.22,3-4,2,2,2,3,3,1
18-24,Female,Middle East/North Africa,Working Professional (Bachelor/Single),JLT,Shared apartment with roommates,500-1000,2-3 times a week,30-50,Once a day,2,5,13.6,5-7,3,4,4,4,2,0
25-34,Male,Indian Subcontinent,Local University/College Student,International City,Company-provided accommodation,1500-2000,Once a week,20-30,Once a day,4,4,26.13,1-2,1,3,3,4,2,1
25-34,Male,Middle East/North Africa,International University/College Student,JLT,Rented studio/apartment (alone),1000-1500,2-3 times a week,20-30,Once a day,4,1,27.28,5-7,2,2,3,3,3,1
18-24,Female,Americas,Local University/College Student,JLT,Living with family,1000-1500,Rarely/Never,20-30,4-6 times a week,4,5,28.28,3-4,4,1,3,3,1,1
18-24,Female,Indian Subcontinent,Local University/College Student,International City,Shared apartment with roommates,2000-3000,Once a week,30-50,4-6 times a week,5,3,37.9,1-2,3,4,1,4,3,1
45-54,Male,Africa,International University/College Student,JLT,Rented studio/apartment (alone),2000-3000,Once a week,15-20,4-6 times a week,4,3,25.11,1-2,2,3,3,4,4,1
18-24,Female,Middle East/North Africa,International University/College Student,International City,Shared apartment with roommates,2000-3000,Once a week,Less than 10,2-3 times a week,4,4,26.04,More than 10,1,2,5,1,2,1
